Date,MDDATA.Death,MDDATA.DeathIncrease
2020-3-5,0,0
2020-3-6,3,3
2020-3-7,3,0
2020-3-8,3,0
2020-3-9,5,2
2020-3-10,6,1
2020-3-11,9,3
2020-3-12,12,3
2020-3-13,17,5
2020-3-14,26,9
2020-3-15,31,5
2020-3-16,37,6
2020-3-17,57,20
2020-3-18,85,28
2020-3-19,107,22
2020-3-20,149,42
2020-3-21,190,41
2020-3-22,244,54
2020-3-23,288,44
2020-3-24,349,61
2020-3-25,423,74
2020-3-26,580,157
2020-3-27,774,194
2020-3-28,992,218
2020-3-29,1239,247
2020-3-30,1413,174
2020-3-31,1660,247
2020-4-1,1985,325
2020-4-2,2331,346
2020-4-3,2758,427
2020-4-4,3125,367
2020-4-5,3609,484
2020-4-6,4045,436
2020-4-7,4371,326
2020-4-8,5529,1158
2020-4-9,6185,656
2020-4-10,6968,783
2020-4-11,7694,726
2020-4-12,8225,531
2020-4-13,8936,711
2020-4-14,9472,536
2020-4-15,10032,560
2020-4-16,10784,752
2020-4-17,11572,788
2020-4-18,12308,736
2020-4-19,12830,522
2020-4-20,13684,854
2020-4-21,14193,509
2020-4-22,14775,582
2020-4-23,15737,962
2020-4-24,16616,879
2020-4-25,17766,1150
2020-4-26,18581,815
2020-4-27,19487,906
2020-4-28,20113,626
2020-4-29,20849,736
2020-4-30,21742,893
2020-5-1,23472,1730
2020-5-2,24473,1001
2020-5-3,25462,989
2020-5-4,26408,946
2020-5-5,27117,709
2020-5-6,28163,1046
2020-5-7,29374,1211
2020-5-8,30485,1111
2020-5-9,31534,1049
2020-5-10,32587,1053
2020-5-11,33373,786
2020-5-12,34061,688
2020-5-13,34812,751
2020-5-14,35903,1091
2020-5-15,36986,1083
2020-5-16,37968,982
2020-5-17,38804,836
2020-5-18,39762,958
2020-5-19,41546,1784
2020-5-20,42323,777
2020-5-21,43531,1208
2020-5-22,44424,893
2020-5-23,45495,1071
2020-5-24,46313,818
2020-5-25,47152,839
2020-5-26,47687,535
2020-5-27,48423,736
2020-5-28,49709,1286
2020-5-29,50988,1279
2020-5-30,52015,1027
2020-5-31,52778,763
2020-6-1,53327,549
2020-6-2,54175,848
2020-6-3,54982,807
2020-6-4,55858,876
2020-6-5,56770,912
2020-6-6,57482,712
2020-6-7,57973,491
2020-6-8,58404,431
2020-6-9,58904,500
2020-6-10,59465,561
2020-6-11,60197,732
2020-6-12,60613,416
2020-6-13,61305,692
2020-6-14,61701,396
2020-6-15,62032,331
2020-6-16,62409,377
2020-6-17,62969,560
2020-6-18,63229,260
2020-6-19,63548,319
2020-6-20,63956,408
2020-6-21,64306,350
2020-6-22,64603,297
2020-6-23,65007,404
2020-6-24,65337,330
2020-6-25,65777,440
2020-6-26,66115,338
2020-6-27,66450,335
2020-6-28,66777,327
2020-6-29,67254,477
2020-6-30,67559,305
2020-7-1,67918,359
2020-7-2,68423,505
2020-7-3,68961,538
2020-7-4,69341,380
2020-7-5,69632,291
2020-7-6,69904,272
2020-7-7,70396,492
2020-7-8,70861,465
2020-7-9,71447,586
2020-7-10,71910,463
2020-7-11,72467,557
2020-7-12,73109,642
2020-7-13,73527,418
2020-7-14,74260,733
2020-7-15,75016,756
2020-7-16,75664,648
2020-7-17,76371,707
2020-7-18,77206,835
2020-7-19,78131,925
2020-7-20,78685,554
2020-7-21,79545,860
2020-7-22,80172,627
2020-7-23,80836,664
2020-7-24,81766,930
2020-7-25,83054,1288
2020-7-26,83748,694
2020-7-27,84876,1128
2020-7-28,85524,648
2020-7-29,86285,761
2020-7-30,87177,892
2020-7-31,88346,1169
2020-8-1,89365,1019
2020-8-2,90274,909
2020-8-3,91144,870
2020-8-4,91854,710
2020-8-5,92426,572
2020-8-6,93005,579
2020-8-7,93806,801
2020-8-8,94581,775
2020-8-9,95503,922
