Date,NCDATA.positive,NCDATA.positiveIncrease
2020-3-4,1,0
2020-3-5,1,0
2020-3-6,2,1
2020-3-7,2,0
2020-3-8,2,0
2020-3-9,2,0
2020-3-10,7,5
2020-3-11,7,0
2020-3-12,12,5
2020-3-13,15,3
2020-3-14,23,8
2020-3-15,32,9
2020-3-16,33,1
2020-3-17,40,7
2020-3-18,63,23
2020-3-19,97,34
2020-3-20,137,40
2020-3-21,184,47
2020-3-22,255,71
2020-3-23,297,42
2020-3-24,398,101
2020-3-25,504,106
2020-3-26,636,132
2020-3-27,763,127
2020-3-28,935,172
2020-3-29,1040,105
2020-3-30,1307,267
2020-3-31,1498,191
2020-4-1,1584,86
2020-4-2,1857,273
2020-4-3,2093,236
2020-4-4,2402,309
2020-4-5,2585,183
2020-4-6,2870,285
2020-4-7,3221,351
2020-4-8,3426,205
2020-4-9,3651,225
2020-4-10,3908,257
2020-4-11,4312,404
2020-4-12,4520,208
2020-4-13,4816,296
2020-4-14,5024,208
2020-4-15,5123,99
2020-4-16,5465,342
2020-4-17,5859,394
2020-4-18,6140,281
2020-4-19,6493,353
2020-4-20,6764,271
2020-4-21,6951,187
2020-4-22,7220,269
2020-4-23,7608,388
2020-4-24,8052,444
2020-4-25,8623,571
2020-4-26,8830,207
2020-4-27,9142,312
2020-4-28,9568,426
2020-4-29,9948,380
2020-4-30,10509,561
2020-5-1,10923,414
2020-5-2,11509,586
2020-5-3,11664,155
2020-5-4,11848,184
2020-5-5,12256,408
2020-5-6,12758,502
2020-5-7,13397,639
2020-5-8,13868,471
2020-5-9,14360,492
2020-5-10,14764,404
2020-5-11,15045,281
2020-5-12,15346,301
2020-5-13,15816,470
2020-5-14,16507,691
2020-5-15,17129,622
2020-5-16,17982,853
2020-5-17,18512,530
2020-5-18,19023,511
2020-5-19,19700,677
2020-5-20,20122,422
2020-5-21,20860,738
2020-5-22,21618,758
2020-5-23,22725,1107
2020-5-24,23222,497
2020-5-25,23964,742
2020-5-26,24140,176
2020-5-27,24628,488
2020-5-28,25412,784
2020-5-29,26488,1076
2020-5-30,27673,1185
2020-5-31,28589,916
