Date,SCDATA.Death,SCDATA.DeathIncrease
2020-3-4,0,0
2020-3-5,0,0
2020-3-6,0,0
2020-3-7,2,2
2020-3-8,2,0
2020-3-9,7,5
2020-3-10,7,0
2020-3-11,9,2
2020-3-12,10,1
2020-3-13,12,2
2020-3-14,13,1
2020-3-15,19,6
2020-3-16,28,9
2020-3-17,33,5
2020-3-18,60,27
2020-3-19,60,0
2020-3-20,81,21
2020-3-21,152,71
2020-3-22,195,43
2020-3-23,298,103
2020-3-24,298,0
2020-3-25,424,126
2020-3-26,456,32
2020-3-27,456,0
2020-3-28,539,83
2020-3-29,774,235
2020-3-30,925,151
2020-3-31,1083,158
2020-4-1,1293,210
2020-4-2,1554,261
2020-4-3,1554,0
2020-4-4,1917,363
2020-4-5,2049,132
2020-4-6,2049,0
2020-4-7,2417,368
2020-4-8,2552,135
2020-4-9,2792,240
2020-4-10,3065,273
2020-4-11,3207,142
2020-4-12,3319,112
2020-4-13,3319,0
2020-4-14,3553,234
2020-4-15,3656,103
2020-4-16,3656,0
2020-4-17,3931,275
2020-4-18,4246,315
2020-4-19,4377,131
2020-4-20,4377,0
2020-4-21,4439,62
2020-4-22,4761,322
2020-4-23,4917,156
2020-4-24,4917,0
2020-4-25,5253,336
2020-4-26,5490,237
2020-4-27,5490,0
2020-4-28,5613,123
2020-4-29,5881,268
2020-4-30,6095,214
2020-5-1,6258,163
2020-5-2,6489,231
2020-5-3,6626,137
2020-5-4,6626,0
2020-5-5,6757,131
2020-5-6,6936,179
2020-5-7,6936,0
2020-5-8,7142,206
2020-5-9,7531,389
2020-5-10,7653,122
2020-5-11,7653,0
2020-5-12,7927,274
2020-5-13,7927,0
2020-5-14,8189,262
2020-5-15,8407,218
2020-5-16,8407,0
2020-5-17,8816,409
2020-5-18,8942,126
2020-5-19,9056,114
2020-5-20,9056,0
2020-5-21,9175,119
2020-5-22,9638,463
2020-5-23,9895,257
2020-5-24,10096,201
2020-5-25,10178,82
2020-5-26,10416,238
2020-5-27,10623,207
