Date,VADATA.positive,VADATA.positiveIncrease
2020-1-27,0,0
2020-1-28,0,0
2020-1-29,0,0
2020-1-30,0,0
2020-1-31,0,0
2020-2-1,0,0
2020-2-2,0,0
2020-2-3,0,0
2020-2-4,0,0
2020-2-5,0,0
2020-2-6,0,0
2020-2-7,0,0
2020-2-8,0,0
2020-2-9,0,0
2020-2-10,0,0
2020-2-11,0,0
2020-2-12,0,0
2020-2-13,0,0
2020-2-14,0,0
2020-2-15,0,0
2020-2-16,0,0
2020-2-17,0,0
2020-2-18,0,0
2020-2-19,0,0
2020-2-20,0,0
2020-2-21,0,0
2020-2-22,0,0
2020-2-23,0,0
2020-2-24,0,0
2020-2-25,0,0
2020-2-26,0,0
2020-2-27,0,0
2020-2-28,0,0
2020-2-29,0,0
2020-3-1,0,0
2020-3-2,0,0
2020-3-3,0,0
2020-3-4,0,0
2020-3-5,0,0
2020-3-6,0,0
2020-3-7,0,0
2020-3-8,2,2
2020-3-9,3,1
2020-3-10,8,5
2020-3-11,9,1
2020-3-12,17,8
2020-3-13,30,13
2020-3-14,30,0
2020-3-15,45,15
2020-3-16,51,6
2020-3-17,67,16
2020-3-18,77,10
2020-3-19,94,17
2020-3-20,114,20
2020-3-21,152,38
2020-3-22,219,67
2020-3-23,254,35
2020-3-24,290,36
2020-3-25,391,101
2020-3-26,460,69
2020-3-27,604,144
2020-3-28,739,135
2020-3-29,890,151
2020-3-30,1020,130
2020-3-31,1250,230
2020-4-1,1484,234
2020-4-2,1706,222
2020-4-3,2012,306
2020-4-4,2407,395
2020-4-5,2637,230
2020-4-6,2878,241
2020-4-7,3333,455
2020-4-8,3645,312
2020-4-9,4042,397
2020-4-10,4509,467
2020-4-11,5077,568
2020-4-12,5274,197
2020-4-13,5747,473
2020-4-14,6171,424
2020-4-15,6500,329
2020-4-16,6889,389
2020-4-17,7491,602
2020-4-18,8053,562
2020-4-19,8537,484
2020-4-20,8990,453
2020-4-21,9630,640
2020-4-22,10266,636
2020-4-23,10998,732
2020-4-24,11594,596
2020-4-25,12366,772
2020-4-26,12970,604
2020-4-27,13535,565
2020-4-28,14339,804
2020-4-29,14961,622
2020-4-30,15846,885
2020-5-1,16901,1055
2020-5-2,17731,830
2020-5-3,18671,940
2020-5-4,19492,821
2020-5-5,20256,764
2020-5-6,20256,0
2020-5-7,21570,1314
2020-5-8,22342,772
2020-5-9,23196,854
2020-5-10,24081,885
2020-5-11,25070,989
2020-5-12,25800,730
2020-5-13,26746,946
2020-5-14,27813,1067
2020-5-15,28672,859
2020-5-16,29683,1011
2020-5-17,30388,705
2020-5-18,31140,752
2020-5-19,32145,1005
2020-5-20,32908,763
2020-5-21,34137,1229
2020-5-22,34950,813
2020-5-23,35749,799
2020-5-24,36244,495
2020-5-25,37727,1483
2020-5-26,39342,1615
2020-5-27,40249,907
2020-5-28,41401,1152
2020-5-29,42533,1132
2020-5-30,43611,1078
2020-5-31,44607,996
2020-6-1,45398,791
2020-6-2,46239,841
2020-6-3,46905,666
2020-6-4,47856,951
2020-6-5,48532,676
2020-6-6,49397,865
2020-6-7,50681,1284
2020-6-8,51251,570
2020-6-9,51738,487
2020-6-10,52177,439
2020-6-11,52647,470
2020-6-12,53211,564
2020-6-13,53869,658
2020-6-14,54506,637
2020-6-15,54886,380
2020-6-16,55331,445
2020-6-17,55775,444
2020-6-18,56238,463
2020-6-19,56793,555
2020-6-20,57443,650
2020-6-21,57994,551
2020-6-22,58465,471
2020-6-23,58994,529
2020-6-24,59514,520
2020-6-25,59946,432
2020-6-26,60570,624
2020-6-27,61247,677
2020-6-28,61736,489
2020-6-29,62189,453
2020-6-30,62787,598
2020-7-1,63203,416
2020-7-2,63735,532
2020-7-3,64393,658
2020-7-4,65109,716
2020-7-5,65748,639
2020-7-6,66102,354
2020-7-7,66740,638
2020-7-8,67375,635
2020-7-9,67988,613
2020-7-10,68931,943
2020-7-11,69782,851
2020-7-12,70670,888
2020-7-13,71642,972
2020-7-14,72443,801
2020-7-15,73527,1084
2020-7-16,74431,904
2020-7-17,75433,1002
2020-7-18,76373,940
2020-7-19,77430,1057
2020-7-20,78375,945
2020-7-21,79371,996
2020-7-22,80393,1022
2020-7-23,81237,844
2020-7-24,82364,1127
2020-7-25,83609,1245
2020-7-26,84567,958
2020-7-27,86072,1505
2020-7-28,86994,922
2020-7-29,87993,999
2020-7-30,88904,911
2020-7-31,89888,984
2020-8-1,90801,913
2020-8-2,91782,981
2020-8-3,93106,1324
2020-8-4,94251,1145
2020-8-5,95049,798
2020-8-6,95867,818
2020-8-7,97882,2015
2020-8-8,99189,1307
2020-8-9,100086,897
2020-8-10,100749,663
2020-8-11,101745,996
2020-8-12,102521,776
2020-8-13,103622,1101
2020-8-14,104838,1216
2020-8-15,105750,912
2020-8-16,106687,937
2020-8-17,107421,734
2020-8-18,108282,861
2020-8-19,109019,737
2020-8-20,109882,863
2020-8-21,110860,978
2020-8-22,112072,1212
2020-8-23,112966,894
2020-8-24,113630,664
2020-8-25,114635,1005
2020-8-26,115458,823
2020-8-27,115458,0
2020-8-28,117592,2134
2020-8-29,118809,1217
2020-8-30,119747,938
2020-8-31,120594,847
2020-9-1,121615,1021
2020-9-2,122542,927
2020-9-3,123668,1126
2020-9-4,124779,1111
2020-9-5,125727,948
2020-9-6,126926,1199
2020-9-7,127571,645
2020-9-8,128407,836
2020-9-9,129289,882
2020-9-10,130525,1236
2020-9-11,131640,1115
2020-9-12,132940,1300
2020-9-13,133814,874
2020-9-14,134571,757
2020-9-15,135514,943
2020-9-16,136359,845
2020-9-17,137460,1101
2020-9-18,138702,1242
2020-9-19,139655,953
2020-9-20,140511,856
2020-9-21,141138,627
2020-9-22,142010,872
2020-9-23,142590,580
2020-9-24,143492,902
2020-9-25,144433,941
2020-9-26,145408,975
2020-9-27,146144,736
2020-9-28,146593,449
2020-9-29,147516,923
2020-9-30,148271,755
2020-10-1,148721,450
2020-10-2,149687,966
2020-10-3,150803,1116
2020-10-4,151870,1067
2020-10-5,152557,687
2020-10-6,153182,625
2020-10-7,153691,509
2020-10-8,155535,1844
2020-10-9,156649,1114
2020-10-10,157905,1256
2020-10-11,158716,811
2020-10-12,159570,854
2020-10-13,160805,1235
2020-10-14,161610,805
2020-10-15,162941,1331
2020-10-16,164124,1183
2020-10-17,165238,1114
2020-10-18,166138,900
2020-10-19,166828,690
2020-10-20,167754,926
2020-10-21,168772,1018
2020-10-22,170104,1332
2020-10-23,171284,1180
2020-10-24,172372,1088
2020-10-25,173371,999
2020-10-26,174275,904
2020-10-27,175409,1134
2020-10-28,176754,1345
2020-10-29,178183,1429
2020-10-30,179639,1456
2020-10-31,181190,1551
2020-11-1,182392,1202
2020-11-2,183418,1026
2020-11-3,184679,1261
2020-11-4,185836,1157
2020-11-5,187202,1366
2020-11-6,188770,1568
2020-11-7,190873,2103
2020-11-8,192175,1302
2020-11-9,193477,1302
2020-11-10,194912,1435
2020-11-11,196506,1594
2020-11-12,198027,1521
2020-11-13,199262,1235
2020-11-14,200799,1537
2020-11-15,201960,1161
2020-11-16,204637,2677
2020-11-17,206762,2125
2020-11-18,208833,2071
2020-11-19,210787,1954
2020-11-20,213331,2544
2020-11-21,215679,2348
2020-11-22,217796,2117
2020-11-23,221038,3242
2020-11-24,223582,2544
2020-11-25,226300,2718
2020-11-26,228900,2600
2020-11-27,230444,1544
2020-11-28,233617,3173
2020-11-29,235942,2325
2020-11-30,237835,1893
2020-12-1,240063,2228
2020-12-2,242480,2417
2020-12-3,244503,2023
2020-12-4,247380,2877
2020-12-5,251173,3793
2020-12-6,255053,3880
2020-12-7,258870,3817
2020-12-8,262730,3860
2020-12-9,267128,4398
2020-12-10,271043,3915
2020-12-11,274438,3395
2020-12-12,278615,4177
2020-12-13,281909,3294
2020-12-14,285149,3240
2020-12-15,288309,3160
2020-12-16,292240,3931
2020-12-17,296093,3853
2020-12-18,299388,3295
2020-12-19,302972,3584
2020-12-20,306848,3876
2020-12-21,310890,4042
2020-12-22,314481,3591
2020-12-23,319133,4652
2020-12-24,323915,4782
2020-12-25,327993,4078
2020-12-26,329577,1584
2020-12-27,333576,3999
2020-12-28,336175,2599
2020-12-29,340297,4122
2020-12-30,344345,4048
2020-12-31,349584,5239
2021-1-1,354766,5182
2021-1-2,358755,3989
2021-1-3,363765,5010
2021-1-4,367536,3771
2021-1-5,371913,4377
2021-1-6,377300,5387
2021-1-7,382679,5379
2021-1-8,387917,5238
2021-1-9,393715,5798
2021-1-10,398856,5141
2021-1-11,403386,4530
2021-1-12,407947,4561
2021-1-13,412545,4598
2021-1-14,417839,5294
2021-1-15,422634,4795
2021-1-16,429391,6757
2021-1-17,439305,9914
2021-1-18,446550,7245
2021-1-19,451076,4526
2021-1-20,455591,4515
2021-1-21,459604,4013
2021-1-22,463751,4147
2021-1-23,468655,4904
2021-1-24,472447,3792
2021-1-25,478619,6172
2021-1-26,483326,4707
2021-1-27,488553,5227
2021-1-28,493674,5121
2021-1-29,497912,4238
2021-1-30,502221,4309
2021-1-31,504779,2558
2021-2-1,507640,2861
2021-2-2,510380,2740
2021-2-3,513339,2959
2021-2-4,516398,3059
2021-2-5,521467,5069
2021-2-6,526176,4709
2021-2-7,529125,2949
2021-2-8,530825,1700
2021-2-9,534116,3291
2021-2-10,537319,3203
2021-2-11,541018,3699
2021-2-12,544209,3191
2021-2-13,547424,3215
2021-2-14,549999,2575
2021-2-15,551538,1539
2021-2-16,553308,1770
2021-2-17,555592,2284
2021-2-18,557896,2304
2021-2-19,559930,2034
2021-2-20,561812,1882
2021-2-21,564115,2303
2021-2-22,565270,1155
2021-2-23,567039,1769
2021-2-24,568946,1907
2021-2-25,570982,2036
2021-2-26,572639,1657
2021-2-27,574314,1675
2021-2-28,576050,1736
2021-3-1,577174,1124
2021-3-2,578559,1385
2021-3-3,580108,1549
2021-3-4,581408,1300
2021-3-5,583060,1652
2021-3-6,584537,1477
2021-3-7,585700,1163
