Date,WVDATA.Death,WVDATA.DeathIncrease
2020-3-6,0,0
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,0,0
2020-3-11,0,0
2020-3-12,0,0
2020-3-13,0,0
2020-3-14,0,0
2020-3-15,0,0
2020-3-16,0,0
2020-3-17,0,0
2020-3-18,1,1
2020-3-19,2,1
2020-3-20,7,5
2020-3-21,11,4
2020-3-22,12,1
2020-3-23,16,4
2020-3-24,20,4
2020-3-25,39,19
2020-3-26,51,12
2020-3-27,76,25
2020-3-28,96,20
2020-3-29,113,17
2020-3-30,126,13
2020-3-31,162,36
2020-4-1,191,29
2020-4-2,217,26
2020-4-3,237,20
2020-4-4,282,45
2020-4-5,324,42
2020-4-6,345,21
2020-4-7,412,67
2020-4-8,462,50
2020-4-9,523,61
2020-4-10,554,31
2020-4-11,577,23
2020-4-12,611,34
2020-4-13,626,15
2020-4-14,640,14
2020-4-15,702,62
2020-4-16,739,37
2020-4-17,754,15
2020-4-18,785,31
2020-4-19,863,78
2020-4-20,902,39
2020-4-21,914,12
2020-4-22,939,25
2020-4-23,967,28
2020-4-24,988,21
2020-4-25,1020,32
2020-4-26,1044,24
2020-4-27,1063,19
2020-4-28,1079,16
2020-4-29,1095,16
2020-4-30,1118,23
2020-5-1,1136,18
2020-5-2,1169,33
2020-5-3,1191,22
2020-5-4,1206,15
2020-5-5,1238,32
2020-5-6,1248,10
2020-5-7,1287,39
2020-5-8,1310,23
2020-5-9,1335,25
2020-5-10,1360,25
2020-5-11,1366,6
2020-5-12,1371,5
2020-5-13,1398,27
2020-5-14,1427,29
2020-5-15,1441,14
2020-5-16,1457,16
2020-5-17,1490,33
2020-5-18,1491,1
2020-5-19,1509,18
2020-5-20,1545,36
2020-5-21,1593,48
2020-5-22,1616,23
2020-5-23,1717,101
2020-5-24,1759,42
2020-5-25,1774,15
2020-5-26,1854,80
2020-5-27,1867,13
2020-5-28,1906,39
2020-5-29,1951,45
2020-5-30,1974,23
2020-5-31,2010,36
2020-6-1,2017,7
2020-6-2,2041,24
2020-6-3,2071,30
2020-6-4,2092,21
2020-6-5,2119,27
2020-6-6,2131,12
